Species
Scomber scombrus
Trachurus trachurus
Merluccius merluccius
Micromesistius poutassou
Loligo vulgaris
Illex coindetii
Mullus surmuletus
Trisopterus minutus
Polybius henslowii
Todaropsis eblanae
Spondyliosoma cantharus
Diplodus vulgaris
Eledone cirrhosa
Octopus vulgaris
Pagellus acarne
Pagrus pagrus
Sardina pilchardus
Boops boops
Scomber colias
Zeus faber
Trisopterus luscus
Chelidonichthys cuculus
Psammechinus miliaris
Scyliorhinus canicula
Solea solea
Engraulis encrasicolus
Callionymus lyra
Arnoglossus laterna
Platichthys flesus
Microchirus variegatus
Conger conger
Loligo forbesii
Dicologlossa cuneata
Echiichthys vipera
Serranus cabrilla
Sarda sarda
Mola mola
Labrus mixtus
Helicolenus dactylopterus
Acantholabrus palloni
Neopycnodonte cochlear
Ctenolabrus rupestris
Spatangus purpureus
Astropecten irregularis
Raja clavata
Raja undulata
Chelidonichthys lucerna
Alloteuthis subulata
Raja montagui
Eutrigla gurnardus
Chelidonichthys obscurus
Sepia elegans
Alosa alosa
Trachurus picturatus
Callionymus maculatus
Argentina sphyraena
Palaemon serratus
Alosa fallax
Atherina presbyter
Myliobatis aquila
Pagellus bogaraveo
Pegusa lascaris
Solea senegalensis
Macropodia tenuirostris
Ophiura albida
Scaphander lignarius
Maja brachydactyla
Marthasterias glacialis
Capros aper
Cepola macrophthalma
Solenocera membranacea
Parastichopus regalis
Anthias anthias
Calliostoma zizyphinum
Calliactis parasitica
Necora puber
Todarodes sagittatus
Pteria hirundo
Paracentrotus lividus
Inachus dorsettensis
Ophiura ophiura
Etmopterus spinax
Gaidropsarus mediterraneus
Gaidropsarus macrophthalmus
Lepidopus caudatus
Sphoeroides pachygaster
Arnoglossus imperialis
Auxis rochei
Gaidropsarus vulgaris
Pomatoschistus minutus
Goneplax rhomboides
Ophiothrix fragilis
Callionymus reticulatus
Nephrops norvegicus
Cancer bellianus
Macropipus tuberculatus
Microchirus azevia
Robustosergia robusta
Hyperoplus lanceolatus
Processa canaliculata
Chelon ramada
Glycymeris glycymeris
Pennatula phosphorea
Ammodytes tobianus
Cancer pagurus
Scophthalmus rhombus
Polybius marmoreus
Citharus linguatula
Scophthalmus maximus
Blennius ocellaris
Homarus gammarus
Rhombosepion orbignyanum
Buglossidium luteum
Corystes cassivelaunus
Sprattus sprattus
Nerophis ophidion
Hyperoplus immaculatus
Raja brachyura
Pagurus alatus
Astropecten aranciacus
Mullus barbatus
Delphinus delphis
Tursiops truncatus
Globicephala melas
Phocoena phocoena
Morus bassanus
Alca torda
Puffinus mauretanicus
Stercorarius skua
Uria aalge
Hydrobates pelagicus
Melanitta nigra
Larus michahellis
Calonectris borealis
Motacilla cinerea
Larus fuscus
Sterna sandvicensis
