Species
Hydrobates pelagicus
Fulmarus glacialis
Morus bassanus
Phocoena phocoena
Lagenorhynchus albirostris
Fratercula arctica
Balaenoptera acutorostrata
Stercorarius skua
Balaenoptera physalus
Uria aalge
Tursiops truncatus
Alca torda
Rissa tridactyla
Halichoerus grypus
Larus argentatus
Phoca vitulina
Leucopleurus acutus
Phalacrocorax aristotelis
Larus marinus
Grampus griseus
Globicephala melas
Puffinus puffinus
Delphinus delphis
Puffinus gravis
Physeter macrocephalus
Larus fuscus
Larus canus
Balaenoptera borealis
Orcinus orca
Cepphus grylle
Phalacrocorax carbo
Mola mola
Phalaropus fulicarius
Puffinus griseus
Sterna hirundo
Stenella frontalis
Larus michahellis
Mesoplodon densirostris
Calonectris borealis
Stenella coeruleoalba
Globicephala macrorhynchus
Bulweria bulwerii
Balaenoptera edeni
Dermochelys coriacea
Caretta caretta
Monachus monachus
Oceanodroma castro
Stercorarius parasiticus
Megaptera novaeangliae
Larus ridibundus
Balaenoptera musculus
Puffinus mauretanicus
Chlidonias niger
Tachymarptis melba
Sterna sandvicensis
Ichthyaetus melanocephalus
Hirundo rustica
Larus audouinii
Melanitta nigra
Sylvia atricapilla
Hydrocoloeus minutus
Anthus pratensis
Stercorarius pomarinus
Puffinus baroli
Physalia physalis
Oceanites oceanicus
Oceanodroma leucorhoa
Pelagodroma marina
Xema sabini
Pseudorca crassidens
Ziphius cavirostris
Sterna paradisaea
Stercorarius longicaudus
Mesoplodon bidens
Hyperoodon ampullatus
Mesoplodon mirus
Podiceps cristatus
Gavia stellata
Anas crecca
Pluvialis squatarola
Calidris alpina
Numenius phaeopus
Saxicola rubetra
Mareca penelope
Branta bernicla
Erithacus rubecula
Numenius arquata
Mergus serrator
Gavia arctica
Circus aeruginosus
Anas platyrhynchos
Somateria mollissima
Chloris chloris
Sturnus vulgaris
Anser anser
Spatula clypeata
Alauda arvensis
Mergus merganser
Delichon urbicum
Limosa lapponica
Carduelis spinus
Turdus pilaris
Cygnus olor
Arenaria interpres
Tadorna tadorna
Anas acuta
Melanitta fusca
Pluvialis apricaria
Vanellus vanellus
Riparia riparia
Ardea cinerea
Oenanthe oenanthe
Phoenicurus ochruros
Falco tinnunculus
Apus apus
Gallinago gallinago
Calidris alba
Gavia immer
Motacilla alba
Podiceps auritus
Fringilla coelebs
Turdus philomelos
Plectrophenax nivalis
Fulica atra
Anser albifrons
Podiceps nigricollis
Limosa limosa
Regulus regulus
Asio flammeus
Streptopelia decaocto
Emberiza schoeniclus
Turdus merula
Aythya fuligula
Calidris canutus
Larus cachinnans
Podiceps grisegena
Anthus trivialis
Falco peregrinus
Mergellus albellus
Alle alle
Turdus iliacus
Columba palumbus
Branta leucopsis
Charadrius hiaticula
Aythya ferina
Bucephala clangula
Larus glaucoides
Fringilla montifringilla
Turdus viscivorus
Circus cyaneus
Scolopax rusticola
Sternula albifrons
Motacilla flava
Tringa nebularia
Cetorhinus maximus
Larus delawarensis
Phalaropus lobatus
Velella velella
Haliaeetus albicilla
Larus hyperboreus
Corvus cornix
Haematopus ostralegus
Corvus corone
Sousa teuszii
Clangula hyemalis
Sterna dougallii
Motacilla cinerea
Kogia sima
Lagenorhynchus acutus
Prionace glauca
Thunnus albacares
Mesoplodon europaeus
Phocoena spinipinnis
Xiphias gladius
Melanogrammus aeglefinus
Trisopterus esmarkii
Pleuronectes platessa
Alosa fallax
Scophthalmus rhombus
Gadus morhua
Platichthys flesus
Eutrigla gurnardus
Hippoglossoides platessoides
Callionymus maculatus
Limanda limanda
Clupea harengus
Microstomus kitt
Trisopterus minutus
Pollachius virens
Chelidonichthys cuculus
Lepidorhombus whiffiagonis
Brosme brosme
Eledone cirrhosa
Merlangius merlangus
Argentina sphyraena
Merluccius merluccius
Argentina silus
Scomber scombrus
Callionymus lyra
Lophius piscatorius
Squalus acanthias
Molva molva
Anarhichas lupus
Glyptocephalus cynoglossus
Sepia officinalis
Gadiculus argenteus
Todarodes sagittatus
Trachurus trachurus
Trisopterus luscus
Sprattus sprattus
Scophthalmus maximus
Solea solea
Mustelus asterias
Raja clavata
Dicentrarchus labrax
Mullus surmuletus
Zeus faber
Scyliorhinus stellaris
Raja montagui
Raja brachyura
Raja microocellata
Chelidonichthys lucerna
Pecten maximus
Conger conger
Helicolenus dactylopterus
Lepidorhombus boscii
Engraulis encrasicolus
Micromesistius poutassou
Saduria entomon
Raja undulata
Chelidonichthys lastoviza
Spondyliosoma cantharus
Symphodus bailloni
Alloteuthis subulata
Amblyraja radiata
Mustelus mustelus
Entelurus aequoreus
Hippoglossus hippoglossus
Loligo forbesii
Lithodes maja
Nephrops norvegicus
Sardina pilchardus
Leucoraja naevus
Scyliorhinus canicula
Maja brachydactyla
Lycodes gracilis
Trachinus draco
Gobius niger
Ciliata septentrionalis
Lophius budegassa
Galeus melastomus
Argyrosomus regius
Bathylagus euryops
Illex coindetii
Lumpenus lampretaeformis
Maurolicus muelleri
Myxine glutinosa
Hyperoplus lanceolatus
Loligo vulgaris
Homarus gammarus
Leucoraja fullonica
Dipturus flossada
Cyclopterus lumpus
Phycis blennoides
Arnoglossus laterna
Todaropsis eblanae
Buglossidium luteum
Scomber colias
Melanocetus johnsonii
Ceratias holboelli
Protomyctophum arcticum
Microchirus variegatus
Phrynorhombus norvegicus
Capros aper
Galeorhinus galeus
Paromola cuvieri
Lampanyctus macdonaldi
Dipturus oxyrinchus
Myoxocephalus scorpius
Parapenaeus longirostris
Dipturus intermedius
Octopus vulgaris
Agonus cataphractus
Etmopterus spinax
Aequipecten opercularis
Pegusa lascaris
Labrus bergylta
Ctenolabrus rupestris
Molva macrophthalma
Pagellus bogaraveo
Pomatoschistus minutus
Centroselachus crepidater
Cyanea capillata
Cancer pagurus
Aphia minuta
Ammodytes marinus
Torpedo marmorata
Dipturus batis
Sebastes viviparus
Enchelyopus cimbrius
Sepietta oweniana
Sepiola tridens
Rossia macrosoma
Adinaefiola ligulata
Pomatoschistus norvegicus
Zoarces viviparus
Neogobius melanostomus
Osmerus eperlanus
Blennius ocellaris
Sander lucioperca
Hyperoplus immaculatus
Labrus mixtus
Sepia elegans
Pollachius pollachius
Rhombosepion elegans
Echiichthys vipera
Pomatoschistus lozanoi
Cancer bellianus
Rossia palpebrosa
Serranus cabrilla
Hexanchus griseus
Alloteuthis media
Deania calceus
Gasterosteus aculeatus
Gymnammodytes semisquamatus
Centrolabrus exoletus
Cyanea lamarckii
Rajella fyllae
Apristurus manis
Apristurus aphyodes
Etmopterus princeps
Centrophorus squamosus
Centroscyllium fabricii
Centroscymnus coelolepis
Leucoraja circularis
Scymnodon ringens
Neoraja caerulea
Dipturus nidarosiensis
Callionymus reticulatus
Palinurus elephas
Sparus aurata
Arnoglossus imperialis
Perca fluviatilis
Sebastes mentella
Gaidropsarus macrophthalmus
Chelidonichthys obscurus
Alosa alosa
Artediellus atlanticus
Tetronarce nobiliana
Chrysaora hysoscella
Aurelia aurita
Salmo salar
Sarda sarda
Syngnathus acus
Nerophis ophidion
Ammodytes tobianus
Chelon ramada
Zeugopterus regius
Pagellus bellottii
Symphodus rostratus
Dasyatis tortonesei
Gobius gasteveni
Pomatoschistus microps
Chimaera monstrosa
Anguilla anguilla
Dicologlossa cuneata
Gobius paganellus
Liparis montagui
Pholis gunnellus
Dasyatis pastinaca
Gaidropsarus argentatus
Beryx splendens
Cepola macrophthalma
Dalatias licha
Lesueurigobius friesii
Macroramphosus scolopax
Lamna nasus
Crystallogobius linearis
Gaidropsarus vulgaris
Echiodon drummondii
Molva dypterygia
Sebastes norvegicus
Petromyzon marinus
Belone belone
Triglops murrayi
Lycodes vahlii
Cottunculus microps
Anarhichas minor
Polybius holsatus
Carcinus maenas
Asterias rubens
Myoxocephalus quadricornis
Crangon crangon
Aphrodita aculeata
Ophiura ophiura
Abra alba
Macoma balthica
Alepocephalus bairdii
Coelorinchus caelorhincus
Coryphaenoides rupestris
Trigla lyra
Polybius henslowii
Pontophilus spinosus
Galeus atlanticus
Rondeletiola minor
Dichelopandalus bonnieri
Munida sarsi
Boops boops
Syngnathus rostellatus
Malacocephalus laevis
Arctozenus risso
Stomias boa
Echiodon dentatus
Necora puber
Pentapora foliacea
Ophiura albida
Pagurus bernhardus
Hippocampus hippocampus
Macropodia rostrata
Donax vittatus
Polybius navigator
Palaemon serratus
Ciliata mustela
Rhizostoma pulmo
Sertularia cupressina
Mytilus edulis
Cerastoderma edule
Diogenes pugilator
Cylista troglodytes
Lampetra fluviatilis
Corystes cassivelaunus
Astropecten irregularis
Eledone moschata
Citharus linguatula
Trachurus picturatus
Pagrus pagrus
Ostrea edulis
Taurulus bubalis
Rhombosepion orbignyanum
Luidia sarsii
Scaphander lignarius
Anseropoda placenta
Nemertesia antennina
Macropodia tenuirostris
Alcyonidium diaphanum
Pisidia longicornis
Hydrallmania falcata
Rissoides desmaresti
Ascidia virginea
Urticina felina
Eurynome aspera
Inachus leptochirus
Pisa armata
Dromia personata
Tethya aurantium
Ocenebra erinaceus
Archidoris pseudoargus
Diphasia nigra
Tritonia hombergii
Desmophyllum pertusum
Alcyonium digitatum
Echinus esculentus
Ophiothrix fragilis
Marthasterias glacialis
Hyas coarctatus
Flustra foliacea
Zeugopterus punctatus
Inachus dorsettensis
Pagurus prideaux
Munida rugosa
Nemertesia ramosa
Axinella infundibuliformis
Luidia ciliaris
Henricia oculata
Eunicella verrucosa
Cliona celata
Laetmonice hystrix
Diazona violacea
Limaria hians
Gracilechinus acutus
Solenocera membranacea
Stichastrella rosea
Hyalinoecia tubicola
Fucus vesiculosus
Venus thomassini
Polybius depurator
Spatangus purpureus
Psammechinus miliaris
Metridium senile
Ascophyllum nodosum
Buccinum undatum
Crangon allmanni
Bolocera tuediae
Lytocarpia myriophyllum
Polybius corrugatus
Arctica islandica
Ulva lactuca
Crepidula fornicata
Chamelea striatula
Portumnus latipes
Neptunea antiqua
Acanthocardia echinata
Echinocardium flavescens
Hippasteria phrygiana
Macomangulus tenuis
Echinocardium cordatum
Spisula subtruncata
Suberites pagurorum
Ceratothoa steindachneri
Liomesus ovum
Mimachlamys varia
Spisula elliptica
Epizoanthus papillosus
Henricia sanguinolenta
Pachymatisma johnstonia
Goneplax rhomboides
Rhizostoma octopus
Crossaster papposus
Polybius marmoreus
Securiflustra securifrons
Pseudamussium peslutrae
Sabellaria spinulosa
Thia scutellata
Pagurus pubescens
Calliactis parasitica
Ciona intestinalis
Suberites ficus
Hyas araneus
Ebalia tuberosa
Anapagurus laevis
Modiolus modiolus
Pandalus montagui
Lutraria lutraria
Pilumnus hirtellus
Gari fervensis
Euspira catena
Alcyonidium gelatinosum
Polybius pusillus
Aequorea vitrina
Mactra stultorum
Atelecyclus rotundatus
Ascidiella scabra
Inachus phalangium
Calliactis palliata
Psolus phantapus
Styela clava
Botryllus schlosseri
Galathea intermedia
Hormathia digitata
Alcyonidium parasiticum
Turritellinella tricarinata
Polybius dioscurus
Lepidonotus clava
Colus gracilis
Ophiocomina nigra
Upogebia deltaura
Astarte sulcata
Lanice conchilega
Symphurus nigrescens
Serranus hepatus
Lepidotrigla dieuzeidei
Lepidotrigla cavillone
Trachurus mediterraneus
Caranx rhonchus
Dentex gibbosus
Dentex canariensis
Pomadasys incisus
Halobatrachus didactylus
Aetomylaeus bovinus
Lesueurigobius sanzi
Branchiostoma lanceolatum
Chamelea gallina
Alitta virens
Himanthalia elongata
Euspira nitida
Pycnogonum litorale
Virgularia mirabilis
Geryon trispinosus
Tritia reticulata
Acanthochitona crinita
Aporrhais pespelecani
Tubularia indivisa
Actinauge richardi
Pandalus borealis
Gracilechinus elegans
Illex illecebrosus
Epitonium clathrus
Pennatula phosphorea
Thuiaria thuja
Sardinella aurita
Geryon longipes
Trachyrincus scabrus
Pasiphaea sivado
Processa canaliculata
Chlorotocus crassicornis
Macropipus tuberculatus
Pleurobrachia pileus
Mnemiopsis leidyi
Porcellana platycheles
Electra pilosa
Pagurus longicarpus
Polybius vernalis
Mactra corallina
Spisula solida
Filograna implexa
Xantho pilipes
Hydractinia echinata
Octopus salutii
Neorossia caroli
Plesionika martia
Plesionika heterocarpus
Phycis phycis
Umbrina canariensis
Hoplostethus mediterraneus
Lepidion lepidion
Synaphobranchus kaupii
Trachyrincus murrayi
Coryphaenoides mediterraneus
Malacosteus niger
Antimora rostrata
Rouleina attrita
Borostomias antarcticus
Coelorinchus labiatus
Coryphaenoides guentheri
Harriotta raleighana
Pagellus erythrinus
Liparis liparis
Diplecogaster bimaculata
Symphodus melops
Parablennius gattorugine
Sepiola atlantica
Macropodia linaresi
Alosa agone
Bathyraja richardsoni
Cataetyx laticeps
Bajacalifornia megalops
Serrivomer beanii
Haliphron atlanticus
Pungitius pungitius
Brama brama
Pomatomus saltatrix
Diplodus annularis
Diplodus bellottii
Alcyonium glomeratum
Mulinia lateralis
Ocinebrellus inornatus
Hydrolagus affinis
Aldrovandia affinis
Pagellus acarne
Raniceps raninus
Maja squinado
Spicara maena
Lepidopus caudatus
Parastichopus tremulus
Paraphellia expansa
Glycymeris glycymeris
Microchirus boscanion
Scorpaena notata
Zenopsis conchifer
Laevicardium crassum
Lagis koreni
Acanthodoris pilosa
Calliostoma zizyphinum
Reteporella beaniana
Diplodus vulgaris
Pontaster tenuispinus
Fucus serratus
Ophiura sarsii
Nucella lapillus
Pinnotheres pisum
Atherina presbyter
Rutilus rutilus
Lepadogaster purpurea
Munida intermedia
Philocheras echinulatus
Buenia jeffreysii
Rostroraja alba
Syngnathus typhle
Venerupis corrugata
Debaspis debilis
Mullus barbatus
Myctophum punctatum
Clupeichthys aesarnensis
Bathyraja brachyurops
Nezumia aequalis
Benthodesmus simonyi
Atelecyclus undecimdentatus
Magallana gigas
Pomatoschistus flavescens
Doris pseudoargus
Epigonus denticulatus
Bathysolea profundicola
Gnathophis mystax
Cubiceps gracilis
Arnoglossus thori
Mora moro
Awaous commersoni
Palaemon adspersus
Ensis leei
Barnea candida
Fabulina fabula
Brissopsis lyrifera
Raja miraletus
Trischizostoma raschii
Scomber japonicus
Scyramathia carpenteri
Argyropelecus olfersii
Notoscopelus kroyeri
Deltentosteus quadrimaculatus
Scomberesox saurus
Scorpaena scrofa
Alpheus glaber
Xenodermichthys copei
Petricolaria pholadiformis
Philine aperta
Synchiropus phaeton
Ascidiella aspersa
Facciolella oxyrhynchus
Alepocephalus rostratus
Nessorhamphus ingolfianus
Trachyscorpia echinata
Chaetopterus variopedatus
Iridonida speciosa
Robustosergia robusta
Polycheles typhlops
Argyropelecus hemigymnus
Chlorophthalmus agassizi
Pontophilus norvegicus
Eusergestes arcticus
Notacanthus bonaparte
Deania profundorum
Paraliparis membranaceus
Halosaurus ovenii
Pasiphaea multidentata
Lampanyctus crocodilus
Bathypolypus sponsalis
Pasiphaea tarda
Amalopenaeus elegans
Spirontocaris liljeborgii
Profilicollis botulus
Mya arenaria
Molgula manhattensis
Neptunea denselirata
Ascidia prunum
Pteraster obscurus
Palliolum tigerinum
Scrobicularia plana
Lycenchelys sarsii
Neopycnodonte cochlear
Acantholabrus palloni
Mola mola
Antedon bifida
Chaunax pictus
Anthias anthias
Penaeopsis serrata
Argyropelecus aculeatus
Beryx decadactylus
Polymetme corythaeola
Parastichopus regalis
Arnoglossus rueppelii
Anadara diluvii
Abralia veranyi
Epigonus telescopus
Gari depressa
Hemigrapsus takanoi
Arenicola marina
Abra prismatica
Rajella lintea
Philocheras trispinosus
Atrina fragilis
Facelina bostoniensis
Palaemon macrodactylus
Ophiothrix luetkeni
Atlantopandalus propinqvus
Emarginula fissura
Idotea linearis
Hyperia galba
Euspira fusca
Dosinia exoleta
Scalpellum scalpellum
Paraleptopentacta elongata
Spinachia spinachia
Gadiculus thori
Salmo trutta
Histioteuthis reversa
Cyttopsis rosea
Varicorbula gibba
Colus islandicus
Sargassum muticum
Alcyonidium condylocinereum
Owenia fusiformis
Glossanodon leioglossus
Rastrelliger kanagurta
Antalis entalis
Philine quadripartita
Palaemon longirostris
Halargyreus johnsonii
Hymenocephalus italicus
Cottus rhenanus
Nucula nitidosa
Hemigrapsus penicillatus
Balistes capriscus
Pelagia noctiluca
Ruditapes philippinarum
Discomedusa lobata
Steromphala cineraria
Littorina littorea
Diodora graeca
Eriocheir sinensis
Nephtys longosetosa
Salpa maxima
Urosalpinx cinerea
Fucus spiralis
Eudendrium armstrongi
Timoclea ovata
Psilaster andromeda
Funiculina quadrangularis
Asteronyx loveni
Laetmonice filicornis
Ascidia conchilega
Solea senegalensis
Myliobatis aquila
Callinectes sapidus
Centrolophus niger
Radix auricularia
Polititapes rhomboides
Echelus myrus
Antigonia capros
Ceratoscopelus maderensis
Pleurobranchus membranaceus
Pisa tetraodon
Alpheus macrocheles
Pontobdella muricata
Adamsia palliata
Dysidea fragilis
Diaphus dumerilii
Lobianchia dofleini
Zenion hololepis
Ensis ensis
Capulus ungaricus
Ancistroteuthis lichtensteinii
Hydrolagus mirabilis
Dicentrarchus punctatus
Aphanopus carbo
Chauliodus sloani
Ectopleura larynx
Squalus blainville
Chelon auratus
Abramis brama
Xandarovula patula
Armina loveni
Doris sticta
Ebalia tumefacta
Holothuria forskali
Aplysia punctata
Botrylloides leachii
Monodaeus couchii
Chirolophis ascanii
Scorpaena loppei
Leptoclinus maculatus
Upogebia stellata
Molgula occulta
Lesueurigobius suerii
Scaeurgus unicirrhus
Ophichthus rufus
Trachyscorpia cristulata
Sepietta neglecta
Chimaera opalescens
Tritia nitida
Atherina boyeri
Diplodus cervinus
Diplodus sargus
Microchirus theophila
Potamocorbula amurensis
Nymphon brevirostre
Hemigrapsus sanguineus
Huso brevirostrum
Trachipterus arcticus
Bathynectes longipes
Chelon labrosus
Myrtea spinifera
Gymnocephalus cernua
Pseudarchaster parelii
Cottunculus thomsonii
Rajella bigelowi
Microchirus ocellatus
Nesiarchus nasutus
Acanthocardia aculeata
Palaemon elegans
Porella compressa
Bathypterois dubius
Pomatoschistus pictus
Callionymus risso
