Species
Balaenoptera physalus
Delphinus delphis
Stenella coeruleoalba
Calonectris borealis
Morus bassanus
Tursiops truncatus
Puffinus mauretanicus
Stercorarius skua
Puffinus griseus
Larus michahellis
Puffinus puffinus
Chlidonias niger
Tachymarptis melba
Larus fuscus
Sterna sandvicensis
Sterna hirundo
Mola mola
Globicephala melas
Ichthyaetus melanocephalus
Hirundo rustica
Larus audouinii
Balaenoptera acutorostrata
Rissa tridactyla
Uria aalge
Alca torda
Melanitta nigra
Puffinus gravis
Grampus griseus
Sylvia atricapilla
Stercorarius parasiticus
Hydrobates pelagicus
Hydrocoloeus minutus
Anthus pratensis
Stercorarius pomarinus
Balaenoptera musculus
Physeter macrocephalus
Stenella frontalis
Oceanodroma castro
Balaenoptera edeni
Xema sabini
Pseudorca crassidens
Fulmarus glacialis
Megaptera novaeangliae
Balaenoptera borealis
Larus marinus
Sterna paradisaea
Velella velella
Ziphius cavirostris
Fratercula arctica
Sternula albifrons
Oceanites oceanicus
Phocoena phocoena
Caretta caretta
Physalia physalis
Bulweria bulwerii
Phalaropus fulicarius
Motacilla cinerea
Delichon urbicum
Kogia sima
Cetorhinus maximus
Dermochelys coriacea
Lagenorhynchus albirostris
Orcinus orca
Mesoplodon bidens
Lagenorhynchus acutus
Halichoerus grypus
Phoca vitulina
Prionace glauca
Hyperoodon ampullatus
Thunnus albacares
Mesoplodon europaeus
Xiphias gladius
Phocoena spinipinnis
Engraulis encrasicolus
Trachurus trachurus
Maurolicus muelleri
Sarda sarda
Loligo vulgaris
Scomber scombrus
Meganyctiphanes norvegica
Micromesistius poutassou
Sprattus sprattus
Capros aper
Trisopterus luscus
Merluccius merluccius
Sardina pilchardus
Boops boops
Scomber japonicus
Dicentrarchus labrax
Clupea harengus
Melanogrammus aeglefinus
Merlangius merlangus
Pollachius virens
Eutrigla gurnardus
Ammodytes marinus
Argentina sphyraena
Centrolophus niger
Lophius piscatorius
Phorcosergia grandis
Acanthephyra curtirostris
Acanthephyra pelagica
Acanthephyra stylorostratis
