;Query.accession;Query.sequence.length;Subject.seq.id;Subject.accession;Subject.sequence.length;evalue;Bit.Score;Raw.Score;Alignment.length;Percentage.of.identical.matches;Number.of.identical.matches;Number.of.mismatches;Number.of.positive.scoring.matches;Total.number.of.gaps;Taxonomy.ID;Scientific.name;Subject.blast.name;Subject.common.name;Domain;Phylum;Class;Order;Family;Genus;Species
1478;ASV_0023;197;gi|3063179306|dbj|LC863321.1|;LC863321;330;6.68E-96;364;197;197;100;197;0;197;0;79784;Tursiops aduncus;whales & dolphins;Indo-pacific bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops aduncus
1479;ASV_0023;197;gi|2926901907|gb|PP375181.1|;PP375181;16386;6.68E-96;364;197;197;100;197;0;197;0;9728;Delphinus delphis;whales & dolphins;saddleback dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus delphis
1480;ASV_0023;197;gi|1357858762|gb|MG762974.1|;MG762974;16384;6.68E-96;364;197;197;100;197;0;197;0;79784;Tursiops aduncus;whales & dolphins;Indo-pacific bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops aduncus
1481;ASV_0023;197;gi|1357858748|gb|MG762973.1|;MG762973;16387;6.68E-96;364;197;197;100;197;0;197;0;79784;Tursiops aduncus;whales & dolphins;Indo-pacific bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops aduncus
1482;ASV_0023;197;gi|2727568700|gb|PP761293.1|;PP761293;16375;6.68E-96;364;197;197;100;197;0;197;0;3056773;Delphinus delphis delphis;whales & dolphins;Delphinus delphis delphis;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus delphis
1483;ASV_0023;197;gi|2727568686|gb|PP761292.1|;PP761292;16375;6.68E-96;364;197;197;100;197;0;197;0;3056774;Delphinus bairdii;whales & dolphins;Delphinus bairdii;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus bairdii
1484;ASV_0023;197;gi|2727568672|gb|PP761291.1|;PP761291;16375;6.68E-96;364;197;197;100;197;0;197;0;3056774;Delphinus bairdii;whales & dolphins;Delphinus bairdii;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus bairdii
1485;ASV_0023;197;gi|2727568658|gb|PP761290.1|;PP761290;16375;6.68E-96;364;197;197;100;197;0;197;0;3056774;Delphinus bairdii;whales & dolphins;Delphinus bairdii;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus bairdii
1486;ASV_0023;197;gi|2727568644|gb|PP761289.1|;PP761289;16375;6.68E-96;364;197;197;100;197;0;197;0;3056774;Delphinus bairdii;whales & dolphins;Delphinus bairdii;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus bairdii
1487;ASV_0023;197;gi|2727568630|gb|PP761288.1|;PP761288;16375;6.68E-96;364;197;197;100;197;0;197;0;3056774;Delphinus bairdii;whales & dolphins;Delphinus bairdii;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus bairdii
1488;ASV_0023;197;gi|2727568616|gb|PP761287.1|;PP761287;16375;6.68E-96;364;197;197;100;197;0;197;0;3056774;Delphinus bairdii;whales & dolphins;Delphinus bairdii;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus bairdii
1489;ASV_0023;197;gi|2727568602|gb|PP761286.1|;PP761286;16376;6.68E-96;364;197;197;100;197;0;197;0;3056774;Delphinus bairdii;whales & dolphins;Delphinus bairdii;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus bairdii
1490;ASV_0023;197;gi|2727568588|gb|PP761285.1|;PP761285;16375;6.68E-96;364;197;197;100;197;0;197;0;3056774;Delphinus bairdii;whales & dolphins;Delphinus bairdii;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus bairdii
1491;ASV_0023;197;gi|2727568574|gb|PP761284.1|;PP761284;16375;6.68E-96;364;197;197;100;197;0;197;0;3056774;Delphinus bairdii;whales & dolphins;Delphinus bairdii;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus bairdii
1492;ASV_0023;197;gi|2727568560|gb|PP761283.1|;PP761283;16376;6.68E-96;364;197;197;100;197;0;197;0;3056774;Delphinus bairdii;whales & dolphins;Delphinus bairdii;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus bairdii
1493;ASV_0023;197;gi|2727568546|gb|PP761282.1|;PP761282;16375;6.68E-96;364;197;197;100;197;0;197;0;3056774;Delphinus bairdii;whales & dolphins;Delphinus bairdii;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus bairdii
1494;ASV_0023;197;gi|2727568532|gb|PP761281.1|;PP761281;16375;6.68E-96;364;197;197;100;197;0;197;0;3056774;Delphinus bairdii;whales & dolphins;Delphinus bairdii;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus bairdii
1495;ASV_0023;197;gi|2727568518|gb|PP761280.1|;PP761280;16375;6.68E-96;364;197;197;100;197;0;197;0;3056774;Delphinus bairdii;whales & dolphins;Delphinus bairdii;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus bairdii
1496;ASV_0023;197;gi|2727568504|gb|PP761279.1|;PP761279;16375;6.68E-96;364;197;197;100;197;0;197;0;3056774;Delphinus bairdii;whales & dolphins;Delphinus bairdii;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus bairdii
1497;ASV_0023;197;gi|2727568490|gb|PP761278.1|;PP761278;16375;6.68E-96;364;197;197;100;197;0;197;0;3056774;Delphinus bairdii;whales & dolphins;Delphinus bairdii;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus bairdii
1498;ASV_0023;197;gi|2727568476|gb|PP761277.1|;PP761277;16375;6.68E-96;364;197;197;100;197;0;197;0;3056774;Delphinus bairdii;whales & dolphins;Delphinus bairdii;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus bairdii
1499;ASV_0023;197;gi|2727568462|gb|PP761276.1|;PP761276;16375;6.68E-96;364;197;197;100;197;0;197;0;3056774;Delphinus bairdii;whales & dolphins;Delphinus bairdii;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus bairdii
1500;ASV_0023;197;gi|2727568448|gb|PP761275.1|;PP761275;16375;6.68E-96;364;197;197;100;197;0;197;0;3056774;Delphinus bairdii;whales & dolphins;Delphinus bairdii;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus bairdii
1501;ASV_0023;197;gi|2727568434|gb|PP761274.1|;PP761274;16375;6.68E-96;364;197;197;100;197;0;197;0;3056774;Delphinus bairdii;whales & dolphins;Delphinus bairdii;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus bairdii
1502;ASV_0023;197;gi|2727568420|gb|PP761273.1|;PP761273;16375;6.68E-96;364;197;197;100;197;0;197;0;3056774;Delphinus bairdii;whales & dolphins;Delphinus bairdii;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus bairdii
1503;ASV_0023;197;gi|2727568406|gb|PP761272.1|;PP761272;16375;6.68E-96;364;197;197;100;197;0;197;0;3056774;Delphinus bairdii;whales & dolphins;Delphinus bairdii;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus bairdii
1504;ASV_0023;197;gi|2727568392|gb|PP761271.1|;PP761271;16375;6.68E-96;364;197;197;100;197;0;197;0;3056774;Delphinus bairdii;whales & dolphins;Delphinus bairdii;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus bairdii
1505;ASV_0023;197;gi|2192927485|ref|NC_060611.1|;NC_060611;16384;6.68E-96;364;197;197;100;197;0;197;0;103589;Stenella clymene;whales & dolphins;Clymene dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Stenella;Stenella clymene
1506;ASV_0023;197;gi|557468838|gb|KF570362.1|;KF570362;16380;6.68E-96;364;197;197;100;197;0;197;0;79784;Tursiops aduncus;whales & dolphins;Indo-pacific bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops aduncus
1507;ASV_0023;197;gi|557468824|gb|KF570361.1|;KF570361;16384;6.68E-96;364;197;197;100;197;0;197;0;79784;Tursiops aduncus;whales & dolphins;Indo-pacific bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops aduncus
